Unnamed: 0, Funis de Marketing,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,2023-01-28 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-29 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-30 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-31 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,Soma,,,,,0,,12,38,8,0.6666666667,8,4,0.5,1,48000,0.25,0,,,,,,,,,,,,,,,,
,Média Mensal,,,,,,,,,,0.6666666667,,,0.5,,,0.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Social Selling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Semana 1,,,,Semana 2,,,,,,,Semana 3,,,,,,Semana 4,,,,,,,,,,,
,,,,,,Segunda,,Sexta,Total,Segunda,Terça,Quarta ,Quinta,Sexta,Total,,Segunda,Terça,Quarta ,Quinta,Sexta,Total,Segunda,Terça,Quarta ,Quinta,Sexta,Total,,,,,,
,Novos Seguidores,,,,,100,,,100,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,Mensagens enviadas,,,,,50,,,50,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,Respostas,,,,,30,,,30,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,Taxa de Resposta,,,,,0.6,,,0.6,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,Agendamentos,,,,,10,,,10,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,Agendamentos para o dia,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comparecimento,,,,,6,,,6,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,Vendas,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales Farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Semana 1,,,,Semana 2,,,,,,,Semana 3,,,,,,Semana 4,,,,,,Semana 5,,,,,
,,,,,,Segunda,,Sexta,Total,Segunda,Terça,Quarta ,Quinta,Sexta,Total,,Segunda,Terça,Quarta ,Quinta,Sexta,Total,Segunda,Terça,Quarta ,Quinta,Sexta,Total,Segunda,Terça,Quarta ,Quinta,Sexta,Total
,Leads Processados Total,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,0
,SDRS,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,0
,Leads por SDR,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,0
Total Mês,Lista de Interessados,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,0
8,Agend. Fluxo Anterior,,,,,2,,,2,,,,,,0,,,,2,4,1,7,2,4,1,,,7,,,2,4,1,7
,Comparecimentos,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,0
,Vendas,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,0
,,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Email 1 ,,Email 5,Total,Email 1 ,Email 2 ,Email 3,Email 4,Email 5,Total,,Email 1 ,Email 2 ,Email 3,Email 4,Email 5,Total,Email 1 ,Email 2 ,Email 3,Email 4,Email 5,Total,Email 1 ,Email 2 ,Email 3,Email 4,Email 5,Total
,Taxa de Abertura Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxa de Resposta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
