;;;;;;FLUXO OTB;;;;;;;;;;;;TICKET MÉDIO;CUSTO POR LEAD;CUSTO POR REUNIÃO AGENDADA;CUSTO POR AQUISIÇÃO DE CLIENTE;RETORNO SOBRE O INVESTIMENTO;FLUXO NS (Novo Seguidor);;;;FLUXO PA (Prospeção Ativa);;;;;;;;;;;
JANEIRO;;;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
1;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
2;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
3;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
4;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
5;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
6;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
7;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
8;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
9;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
10;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
11;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
12;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
13;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
14;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
15;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
16;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
17;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
18;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
19;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
20;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
21;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
22;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
23;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
24;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
25;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
26;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
27;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
28;2;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
FEVEREIRO;;;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
1;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
2;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
3;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
4;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
5;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
6;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
7;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
8;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
9;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
10;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
11;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
12;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
13;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
14;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
15;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
16;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
17;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
18;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
19;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
20;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
21;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
22;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
23;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
24;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
25;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
26;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
27;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
28;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
29;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
30;3;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
MARÇO;;;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
1;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
2;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
3;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
4;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
5;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
6;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
7;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
8;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
9;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
10;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
11;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
12;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
13;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
14;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
15;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
16;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
17;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
18;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
19;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
20;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
21;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
22;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
23;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
24;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
25;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
26;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
27;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
28;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
29;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
30;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
31;4;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
ABRIL;;;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
1;5;2024;R$ 0,00;1;100,00%;1;0,00%;;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
2;5;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
3;5;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
4;5;2024;R$ 0,00;1;100,00%;1;0,00%;0;100,00%;1;0,00%;0;100,00%;1;100%;1;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0;0;0;0;0;0;;;;;;;;
